Date,Open,High,Low,Close,Volume,AdjClose
7/22/1986,17639,17639,17639,17639,0,17639
7/23/1986,17860,17860,17860,17860,0,17860
7/24/1986,18026,18026,18026,18026,0,18026
7/25/1986,18051,18051,18051,18051,0,18051
7/28/1986,18039,18039,18039,18039,0,18039
7/29/1986,17729,17729,17729,17729,0,17729
7/30/1986,17799,17799,17799,17799,0,17799
7/31/1986,17510,17510,17510,17510,0,17510
8/1/1986,17322,17322,17322,17322,0,17322
8/4/1986,17263,17263,17263,17263,0,17263
8/5/1986,17415,17415,17415,17415,0,17415
8/6/1986,17353,17353,17353,17353,0,17353
8/7/1986,17422,17422,17422,17422,0,17422
8/8/1986,17436,17436,17436,17436,0,17436
8/11/1986,17479,17479,17479,17479,0,17479
8/12/1986,17795,17795,17795,17795,0,17795
8/13/1986,18001,18001,18001,18001,0,18001
8/14/1986,18265,18265,18265,18265,0,18265
8/15/1986,18376,18376,18376,18376,0,18376
8/18/1986,18597,18597,18597,18597,0,18597
8/19/1986,18793,18793,18793,18793,0,18793
8/20/1986,18936,18936,18936,18936,0,18936
8/21/1986,18951,18951,18951,18951,0,18951
8/25/1986,18566,18566,18566,18566,0,18566
8/26/1986,18641,18641,18641,18641,0,18641
8/27/1986,18503,18503,18503,18503,0,18503
8/28/1986,18370,18370,18370,18370,0,18370
8/29/1986,18821,18821,18821,18821,0,18821
9/1/1986,18821,18821,18821,18821,0,18821
9/2/1986,18695,18695,18695,18695,0,18695
9/3/1986,18694,18694,18393,18505,0,18505
9/4/1986,18515,18624,18514,18560,0,18560
9/5/1986,18572,18778,18572,18775,0,18775
9/8/1986,18765,18784,18545,18552,0,18552
9/9/1986,18537,18537,18433,18474,0,18474
9/10/1986,18477,18636,18473,18619,0,18619
9/11/1986,18615,18668,18548,18561,0,18561
9/12/1986,18554,18554,17939,18101,0,18101
9/15/1986,18554,18554,18554,18554,0,18554
9/16/1986,18087,18087,17459,17463,0,17463
9/17/1986,17471,17620,17336,17337,0,17337
9/18/1986,17327,17520,17327,17478,0,17478
9/19/1986,17493,17612,17493,17523,0,17523
9/22/1986,17527,17707,17527,17706,0,17706
9/23/1986,17527,17527,17527,17527,0,17527
9/24/1986,17718,18018,17718,17956,0,17956
9/25/1986,17979,18078,17904,17988,0,17988
9/26/1986,17979,18052,17871,17961,0,17961
9/29/1986,18185,18263,18094,18106,0,18106
9/30/1986,17894,17894,17817,17853,0,17853
10/1/1986,17854,17974,17563,17564,0,17564
10/2/1986,17564,17602,17004,17019,0,17019
10/3/1986,17005,17271,16820,17240,0,17240
10/6/1986,17599,17676,17431,17435,0,17435
10/7/1986,17441,17608,17441,17604,0,17604
10/8/1986,17604,17683,17472,17515,0,17515
10/9/1986,17512,17652,17512,17650,0,17650
10/13/1986,17623,17623,17330,17339,0,17339
10/14/1986,17349,17447,17097,17318,0,17318
10/15/1986,17317,17393,16958,16970,0,16970
10/16/1986,16976,17028,16692,16872,0,16872
10/17/1986,16869,16932,16671,16700,0,16700
10/20/1986,16692,16692,16482,16523,0,16523
10/21/1986,16501,16501,15989,16206,0,16206
10/22/1986,16216,16321,15638,15820,0,15820
10/23/1986,15817,16329,15624,16308,0,16308
10/24/1986,16322,16563,16280,16284,0,16284
10/27/1986,16186,16207,16135,16158,0,16158
10/28/1986,16152,16398,16152,16398,0,16398
10/29/1986,16397,16532,16397,16505,0,16505
10/30/1986,16526,17011,16526,17011,0,17011
10/31/1986,17021,17091,16897,16911,0,16911
11/4/1986,16840,16894,16751,16787,0,16787
11/5/1986,16766,16845,16700,16714,0,16714
11/6/1986,16712,16771,16712,16758,0,16758
11/7/1986,16778,16977,16778,16974,0,16974
11/10/1986,16989,17076,16961,17053,0,17053
11/11/1986,17055,17303,17055,17301,0,17301
11/12/1986,17306,17487,17306,17448,0,17448
11/13/1986,17443,17466,17417,17438,0,17438
11/14/1986,17424,17424,17290,17391,0,17391
11/17/1986,17400,17475,17204,17208,0,17208
